agency_id,route_id,route_short_name,route_long_name,route_type
SKY:Authority:SKY,SKY:Line:600,600,Halhjemsmarka - Osøyro - Busstasjonen,704
SKY:Authority:SKY,SKY:Line:601,601,Osøyro - Ulven - Lysekloster - Helleskaret -Drange,704
SKY:Authority:SKY,SKY:Line:602,602,Strøno - Osøyro,704
SKY:Authority:SKY,SKY:Line:603,603,Lepsøy - Ulven - Tøsdalskiftet - Osøyro,704
SKY:Authority:SKY,SKY:Line:606,606,Solbjørg - Osøyro,704
SKY:Authority:SKY,SKY:Line:607,607,Hagavik/Nore Neset - Osøyro,704
SKY:Authority:SKY,SKY:Line:61,61,Krokeide - Lagunen terminal,704
SKY:Authority:SKY,SKY:Line:610,610,Osøyro - Nesttun -Bergen busstasjon,704
SKY:Authority:SKY,SKY:Line:62,62,Helleskaret - Fanafjellet - Fana,704
SKY:Authority:SKY,SKY:Line:620,620,Svortland -Føyno-Leirvik,704
SKY:Authority:SKY,SKY:Line:631,631,Tittelsnes,704
SKY:Authority:SKY,SKY:Line:632,632,Buavåg,704
SKY:Authority:SKY,SKY:Line:633,633,Ålfjorden,704
SKY:Authority:SKY,SKY:Line:64,64,Hordnes - Lagunen terminal,704
SKY:Authority:SKY,SKY:Line:640,640,Ølen - Etne - Odda,704
SKY:Authority:SKY,SKY:Line:641,641,Etne-Skånevik,704
SKY:Authority:SKY,SKY:Line:642,642,Etne-Litledalen,704
SKY:Authority:SKY,SKY:Line:643,643,Etne - Kyrping - Frette,704
SKY:Authority:SKY,SKY:Line:644,644,Etne-Osvåg-Veste,704
SKY:Authority:SKY,SKY:Line:65,65,Grimseid - Lagunen terminal,704
SKY:Authority:SKY,SKY:Line:651,651,Våge-Lunde-Onarheim-Hodnanes,704
SKY:Authority:SKY,SKY:Line:653,653,Våge-Reksteren,704
SKY:Authority:SKY,SKY:Line:654,654,Gjermundshamn-Våge-Hodnanes,704
SKY:Authority:SKY,SKY:Line:655,655,Våge-Neshamn,704
SKY:Authority:SKY,SKY:Line:656,656,Tysnes skule-Våge-Uggdal skule-Kløv-Onarheim,704
SKY:Authority:SKY,SKY:Line:67,67,Søråshøgda - Nordås - sentrum,704
SKY:Authority:SKY,SKY:Line:671,671,Leirvik-Litlabø-Fitjar,704
SKY:Authority:SKY,SKY:Line:673,673,Rommetveit - Vikanes,704
SKY:Authority:SKY,SKY:Line:676,676,Ådland - Kårevik/Hornelandsvågen,704
SKY:Authority:SKY,SKY:Line:678,678,Leirvik-Romm-Fjellgard-Leirvik,704
SKY:Authority:SKY,SKY:Line:679,679,Nordhuglo-Tveit-Haukanes,704
SKY:Authority:SKY,SKY:Line:680,680,Fitjar - Ostern - Skumsn - Koløyh - Dåfj - Fitjar,704
SKY:Authority:SKY,SKY:Line:70,70,Øvsttun - Midtun - Nesttun,704
SKY:Authority:SKY,SKY:Line:700,700,Rute 700 Stord-Haugesund,704
SKY:Authority:SKY,SKY:Line:71,71,Totland - Dyngeland - Nesttun,704
SKY:Authority:SKY,SKY:Line:725,725,Odda - Skare - Tveit - Røldal,704
SKY:Authority:SKY,SKY:Line:73,73,Bontveit - Kaland,704
SKY:Authority:SKY,SKY:Line:74,74,Haugsdal - Kalandseid,704
SKY:Authority:SKY,SKY:Line:740,740,Bergen-Eikelandsosen-Gjermundshamn,704
SKY:Authority:SKY,SKY:Line:741,741,Arna - Midtun - Fusa,704
SKY:Authority:SKY,SKY:Line:743,743,Venjaneset-Strandvik,704
SKY:Authority:SKY,SKY:Line:744,744,Tveita-Gjon-Holdhus,704
SKY:Authority:SKY,SKY:Line:745,745,StussvikHovda - Nortveitgrend - Kilen,704
SKY:Authority:SKY,SKY:Line:749,749,Øystese-Norheimsund-Mundheim,704
SKY:Authority:SKY,SKY:Line:75,75,Skiparvik - Nesttun,704
SKY:Authority:SKY,SKY:Line:76,76,Smørås - Nesttun,704
SKY:Authority:SKY,SKY:Line:760,760,Odda-Årsand-Rosendal-Husnes-Sunde-Utåker,704
SKY:Authority:SKY,SKY:Line:762,762,Ringbuss Husnes - Kaldestad - Sunde - Valen,704
SKY:Authority:SKY,SKY:Line:766,766,Åkra-Rosendal,704
SKY:Authority:SKY,SKY:Line:790,790,Halsnøy,704
SKY:Authority:SKY,SKY:Line:791,791,Valen - Husnes - Halsnøy,704
SKY:Authority:SKY,SKY:Line:81,81,Nattlandsfjellet - Wergeland,704
SKY:Authority:SKY,SKY:Line:82,82,Grønnestølen - Wergeland,704
SKY:Authority:SKY,SKY:Line:83,83,Nesttun - Storetveitveien - Wergeland,704
SKY:Authority:SKY,SKY:Line:84,84,Landås,704
SKY:Authority:SKY,SKY:Line:85,85,Laksevåg,704
SKY:Authority:SKY,SKY:Line:86,86,Sandviken - sentrum,704
SKY:Authority:SKY,SKY:Line:87,87,Åsane,704
SKY:Authority:SKY,SKY:Line:90,90,Arna stasjon - Stølsvegen - Haukeland - Nesttun,704
SKY:Authority:SKY,SKY:Line:900,900,Tyssebotn - Valestrand - Bergen,704
SKY:Authority:SKY,SKY:Line:901,901,Raknes - Hamre - Valestrand,704
SKY:Authority:SKY,SKY:Line:902,902,Myking - Lonevåg,704
SKY:Authority:SKY,SKY:Line:91,91,Åsane terminal - Ytre Arna - Arna terminal,704
SKY:Authority:SKY,SKY:Line:910,910,Lonevåg - Kvisti - Arna,704
SKY:Authority:SKY,SKY:Line:911,911,Bruvik - Kvisti,704
SKY:Authority:SKY,SKY:Line:912,912,Øvre Rivenes - Haus,704
SKY:Authority:SKY,SKY:Line:92,92,Takvam-Garnes - Arna stasjon,704
SKY:Authority:SKY,SKY:Line:920,920,Dale - Vaksdal - Arna - Bergen,704
SKY:Authority:SKY,SKY:Line:921,921,Dale - Rødland,704
SKY:Authority:SKY,SKY:Line:922,922,Eksingedalen - Dale,704
SKY:Authority:SKY,SKY:Line:923,923,Modalen - Dale,704
SKY:Authority:SKY,SKY:Line:924,924,Eksingedal - Mo - Ostereidet,704
SKY:Authority:SKY,SKY:Line:925,925,Bergen-Norheimsund-Kvanndal-Voss,704
SKY:Authority:SKY,SKY:Line:93,93,Arna stasjon - Tungeland - Lone,704
SKY:Authority:SKY,SKY:Line:930,930,Bergen-Norheimsund-Jondal-Odda-Røldal,704
SKY:Authority:SKY,SKY:Line:934,934,Eikelandsosen-Tysse,704
SKY:Authority:SKY,SKY:Line:94,94,Haukeland - Unneland,704
SKY:Authority:SKY,SKY:Line:940,940,Tysse-Solbjorg-Tysse,704
SKY:Authority:SKY,SKY:Line:945,945,Voss - Granvin -(Bu)- Ulvik,704
SKY:Authority:SKY,SKY:Line:95,95,Trengereid - Takvam - Arna,704
SKY:Authority:SKY,SKY:Line:950,950,Bergen-Voss-Gudvangen,704
SKY:Authority:SKY,SKY:Line:951,951,Voss - Dalsleitet - Bjørgemarki - Voss,704
SKY:Authority:SKY,SKY:Line:952,952,Dalane,704
SKY:Authority:SKY,SKY:Line:953,953,Voss - Bordalen - Rjodo,704
SKY:Authority:SKY,SKY:Line:954,954,Voss - Lemme,704
SKY:Authority:SKY,SKY:Line:955,955,Voss - Fenno,704
SKY:Authority:SKY,SKY:Line:956,956,Voss - Almeland - Nedkvitno - Voss,704
SKY:Authority:SKY,SKY:Line:957,957,Voss - Eimstad - Bulken - Voss,704
SKY:Authority:SKY,SKY:Line:958,958,Voss - Raundalen,704
SKY:Authority:SKY,SKY:Line:959,959,Voss - Vestbygdi,704
SKY:Authority:SKY,SKY:Line:96,96,Skoleruter Åsane,704
SKY:Authority:SKY,SKY:Line:960,960,Brekkhus - Evanger - Voss,704
SKY:Authority:SKY,SKY:Line:962,962,Voss - Holbygdi,704
SKY:Authority:SKY,SKY:Line:964,964,Voss-Skjerpe/Sivlevegen(Ringbuss),704
SKY:Authority:SKY,SKY:Line:965,965,Sentrumsringen Voss,704
SKY:Authority:SKY,SKY:Line:97,97,Skoleruter Arna,704
SKY:Authority:SKY,SKY:Line:970,970,Voss-Myrkdalen-Vik-Vangsnes,704
SKY:Authority:SKY,SKY:Line:980,980,Jondal - Utne - Odda,704
SKY:Authority:SKY,SKY:Line:981,981,Jondal-Årvikstrand,704
SKY:Authority:SKY,SKY:Line:982,982,Jondal-Krossdalen-Folgefonn skisenter,704
SKY:Authority:SKY,SKY:Line:983,983,Jondal-Austrepollen-Odda,704
SKY:Authority:SKY,SKY:Line:984,984,Eidesåsen - Toppen - Odda,704
SKY:Authority:SKY,SKY:Line:985,985,Eitrheim - Odda,704
SKY:Authority:SKY,SKY:Line:99,99,Skoleruter Fana-Os,704
SKY:Authority:SKY,SKY:Line:990,990,Odda-Kinsarvik-Bu-Granvin-Voss,704
SKY:Authority:SKY,SKY:Line:991,991,Geilo - Eidfjord - Odda,704
SKY:Authority:SKY,SKY:Line:994,994,Freim - Ragde - Odda,704
SKY:Authority:SKY,SKY:Line:995,995,Skogly - Tyssedal - Odda,704
