from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:51058,SKY:ServiceJourney:620-179164-17154779,NSR:Quay:51058,SKY:ServiceJourney:552-179164-17154691,1
NSR:Quay:55121,SKY:ServiceJourney:460-180507-17087025,NSR:Quay:55121,SKY:ServiceJourney:441-180507-17087124,1
NSR:Quay:51613,SKY:ServiceJourney:465-178551-17093286,NSR:Quay:51613,SKY:ServiceJourney:466-178551-17093266,1
NSR:Quay:49982,SKY:ServiceJourney:601-179590-15993580,NSR:Quay:49982,SKY:ServiceJourney:62-179590-15993371,1
NSR:Quay:51450,SKY:ServiceJourney:671-175851-16410062,NSR:Quay:51451,SKY:ServiceJourney:680-175851-16410252,1
NSR:Quay:50561,SKY:ServiceJourney:450-180509-17087278,NSR:Quay:50561,SKY:ServiceJourney:455-180509-17086905,1
NSR:Quay:49674,SKY:ServiceJourney:35-179551-17135907,NSR:Quay:49674,SKY:ServiceJourney:36-179551-16770784,1
NSR:Quay:51203,SKY:ServiceJourney:559-175905-17065334,NSR:Quay:51203,SKY:ServiceJourney:620-175905-16409943,1
NSR:Quay:58351,SKY:ServiceJourney:311-178191-16974041,NSR:Quay:58336,SKY:ServiceJourney:310-178191-16974225,1
NSR:Quay:51203,SKY:ServiceJourney:620-180238-16409966,NSR:Quay:51203,SKY:ServiceJourney:559-180238-17065361,1
NSR:Quay:58003,SKY:ServiceJourney:910-179548-17258002,NSR:Quay:58003,SKY:ServiceJourney:910-179548-17258004,1
NSR:Quay:53046,SKY:ServiceJourney:484-178712-17087789,NSR:Quay:53046,SKY:ServiceJourney:485-178712-17093213,1
NSR:Quay:56538,SKY:ServiceJourney:495-180479-17340192,NSR:Quay:56538,SKY:ServiceJourney:499-180479-17340133,1
NSR:Quay:99593,SKY:ServiceJourney:36-180583-16768709,NSR:Quay:53415,SKY:ServiceJourney:27-180583-16768335,1
NSR:Quay:102566,SKY:ServiceJourney:330-179276-16817332,NSR:Quay:102565,SKY:ServiceJourney:300-179276-17158408,1
NSR:Quay:53046,SKY:ServiceJourney:481-178712-17093252,NSR:Quay:53046,SKY:ServiceJourney:484-178712-17087825,1
NSR:Quay:50561,SKY:ServiceJourney:458-178712-17093501,NSR:Quay:50567,SKY:ServiceJourney:450E-178712-17087712,1
NSR:Quay:49625,SKY:ServiceJourney:600-173465-16069125,NSR:Quay:49626,SKY:ServiceJourney:603-173465-16069461,1
NSR:Quay:49625,SKY:ServiceJourney:601-180550-17138335,NSR:Quay:49626,SKY:ServiceJourney:600-180550-17137112,1
NSR:Quay:58003,SKY:ServiceJourney:910-179341-17163402,NSR:Quay:58003,SKY:ServiceJourney:910-179341-17163388,1
NSR:Quay:51885,SKY:ServiceJourney:53-178130-16971010,NSR:Quay:51885,SKY:ServiceJourney:50E-178130-16970875,1
NSR:Quay:102567,SKY:ServiceJourney:340-179281-17161418,NSR:Quay:102566,SKY:ServiceJourney:301-179281-15985531,1
NSR:Quay:51885,SKY:ServiceJourney:53-179592-16879315,NSR:Quay:51885,SKY:ServiceJourney:50E-179592-15994583,1
NSR:Quay:99593,SKY:ServiceJourney:26-179978-16769517,NSR:Quay:53416,SKY:ServiceJourney:36-179978-16768716,1
NSR:Quay:56024,SKY:ServiceJourney:325-178194-16817843,NSR:Quay:56024,SKY:ServiceJourney:320-178194-16814396,1
NSR:Quay:102566,SKY:ServiceJourney:300-178194-16974720,NSR:Quay:102566,SKY:ServiceJourney:320-178194-16817299,1
NSR:Quay:53043,SKY:ServiceJourney:490-180501-17086924,NSR:Quay:53043,SKY:ServiceJourney:495-180501-17087464,1
NSR:Quay:56538,SKY:ServiceJourney:496-180507-17087614,NSR:Quay:56538,SKY:ServiceJourney:495-180507-17087439,1
NSR:Quay:56538,SKY:ServiceJourney:499-178551-17092990,NSR:Quay:56538,SKY:ServiceJourney:495-178551-17093098,1
NSR:Quay:51058,SKY:ServiceJourney:554-175905-16409827,NSR:Quay:51058,SKY:ServiceJourney:620-175905-16409957,1
NSR:Quay:50561,SKY:ServiceJourney:450-180505-17087229,NSR:Quay:108891,SKY:ServiceJourney:454-180505-17087507,1
NSR:Quay:51222,SKY:ServiceJourney:442-180479-17340412,NSR:Quay:51222,SKY:ServiceJourney:460-180479-17339998,1
NSR:Quay:58003,SKY:ServiceJourney:910-180583-17257979,NSR:Quay:58003,SKY:ServiceJourney:910-180583-17258013,1
NSR:Quay:99593,SKY:ServiceJourney:36-179876-16768698,NSR:Quay:53415,SKY:ServiceJourney:27-179876-16768349,1
NSR:Quay:99593,SKY:ServiceJourney:26-179815-16769523,NSR:Quay:53416,SKY:ServiceJourney:33-179815-17307107,1
NSR:Quay:58003,SKY:ServiceJourney:910-179978-16768500,NSR:Quay:58003,SKY:ServiceJourney:911-179978-17281840,1
NSR:Quay:57428,SKY:ServiceJourney:344-179219-17155330,NSR:Quay:57428,SKY:ServiceJourney:340-179219-17155363,1
